on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Quality of Instruction",What would you have liked to change about this session?,What worked well about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build understanding and skills to use Data Wise tools to foster equitable practices at each step of the improvement process.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65""}"
2018-12-06 20:06:17,2018-12-06 20:07:52,IP Address,174.199.87.109,100,95,True,2018-12-06 20:07:52,R_269Flr96AfyZ4Oe,,,,,42.3583984375,-71.0597991943359375,anonymous,EN,Practitioner,Moderately Satisfied,Moderately Satisfied,,I would have liked to join the process rather than observing,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:05:53,2018-12-06 20:07:56,IP Address,174.199.29.51,100,122,True,2018-12-06 20:07:56,R_syZDwp6XzQAKC53,,,,,42.3583984375,-71.0597991943359375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,I enjoyed getting to meet and discuss the topics with other educators in my district.,I’d like there to be more modeling/videos to show the process in action,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-06 20:06:59,2018-12-06 20:07:56,IP Address,137.49.109.48,100,56,True,2018-12-06 20:07:56,R_1Qsa6HUuQ9KnYSP,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Neutral,Neutral,talking as a group,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:05:48,2018-12-06 20:08:04,IP Address,137.49.141.240,100,136,True,2018-12-06 20:08:05,R_SUUZXAd4RAIJLTX,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,,"Differentiate based upon schools experience and successful implementation of the Data Wise process. ",Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:05:56,2018-12-06 20:08:09,IP Address,174.199.27.145,100,132,True,2018-12-06 20:08:09,R_2WMxF47ZRe4fcdx,,,,,41.82000732421875,-71.415802001953125,anonymous,EN,Practitioner,Moderately Satisfied,Moderately Satisfied,,,Neutral,Neutral,,,Neutral,Neutral,,,Moderately Satisfied,"Appreciated the time to practice with our team. Agenda was strong and helped to surface the work ahead. ",,Neutral,Neutral,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:06:14,2018-12-06 20:08:14,IP Address,174.199.0.134,100,120,True,2018-12-06 20:08:14,R_2Uh1T5OzjL8ImSO,,,,,41.5381927490234375,-72.80699920654296875,anonymous,EN,Practitioner,Moderately Satisfied,Neutral,"Good mix of whole group & team time ",Differentiation for schools already engaged in process,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral
2018-12-06 20:07:16,2018-12-06 20:08:15,IP Address,137.49.150.219,100,58,True,2018-12-06 20:08:15,R_1hA0IrgDOOWRs9H,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-06 20:06:11,2018-12-06 20:08:15,IP Address,137.49.150.14,100,124,True,2018-12-06 20:08:16,R_3eaVPt09BZk3iAV,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Neutral,Neutral,,,Neutral,Neutral,,,Neutral,Neutral,,,Moderately Dissatisfied,,,Neutral,Neutral,,,Neutral,Neutral
2018-12-06 19:59:47,2018-12-06 20:08:17,IP Address,137.49.131.94,100,510,True,2018-12-06 20:08:18,R_3m8lkDOkYMTOdeO,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,Time for individual school teams to work and learn together.,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Moderately Satisfied,Parts of this section were confusing as presented.,,Neutral,Neutral
2018-12-06 20:06:33,2018-12-06 20:08:28,IP Address,137.49.183.136,100,115,True,2018-12-06 20:08:29,R_3qOqDA5CbrtH2h7,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,Both the learning and doing,This is more school-based coming with a clearer picture of how/when bringing back,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
