StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q27,Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context (Monique Davis) - Importance of Topic,[Faculty Session] Setting the Context (Monique Davis) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Focus Areas and Data Overviews (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Importance of Topic,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Planning and Preparation (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",We have a big-picture plan to move forward our School Improvement Plan.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Please provide any other overall feedback on this institute.,"At this point, how would you rate the overall quality of the Data Wise Workshop?","At this point, to what extent did you find this program professionally useful?","At this point, how much do you intend to modify your professional practice, based on your experience in this program?","How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2020-01-08 18:46:07,2020-01-08 18:51:42,IP Address,198.206.25.25,100,335,True,2020-01-08 18:51:43,R_eyPXod0IOKi4hP3,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied," "," ",Moderately Satisfied," "," ",Moderately Satisfied,Moderately Satisfied," "," ",Neutral,,Spread out the groups - I couldn't hear what people were saying because there was too much noise from other groups in close proximity.,Somewhat Agree,Strongly Agree,Keeping us on track.,," "," ",Very Good,Quite A Bit,Quite A Bit,Moderately Satisfied," "
2020-01-08 18:44:13,2020-01-08 18:51:54,IP Address,198.206.25.64,100,461,True,2020-01-08 18:51:55,R_2yq64NcxOVe5fjj,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Moderately Satisfied,,,Completely Satisfied,,,Strongly Agree,Somewhat Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2020-01-08 18:44:33,2020-01-08 18:54:09,IP Address,198.206.25.25,100,575,True,2020-01-08 18:54:09,R_1ruApVxciI4Werl,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Completely Satisfied,Pacing was great.,None,Moderately Dissatisfied,We had great honest conversation.,People became distracted and did not fully participate in the team meeting.,Completely Satisfied,Completely Satisfied,Everything.,None.,Moderately Satisfied,Everyone was engaged by the discussion. Our facilitator drove the group well.,More focus on the objectives of the meeting.,Somewhat Agree,Neutral,Identifying the core team members based on strengths (and how to help people move off the team respectfully),Intentional Collaboration,"Shared Commitment to Action, Assessment and Adjustment - We have too many people on the team who don't believe this is important beyond compliance.","This has been great learning these protocols. Very helpful for more than school improvement planning, but all teaming.",Very Good,A Great Deal,Moderately,Moderately Dissatisfied,Specifically ask school leaders to diversify their teams.
2020-01-08 18:44:37,2020-01-08 18:54:20,IP Address,198.206.25.25,100,583,True,2020-01-08 18:54:21,R_3Ibxrk6BABdwZMt,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Neutral,Neutral,,,Moderately Satisfied,team was able to focus because there was an agenda and facilitator following the agenda.,some people were not able to participate with the team on the previous day,Completely Satisfied,Completely Satisfied,receiving feedback on learning centered statement,n/a,Moderately Dissatisfied,,the principal's stress and anxiety stifled the work; talked in circles about the same issue,Somewhat Agree,Strongly Disagree,"Keeping the team/school leader focused, setting high expectations for the work","It was a struggle, but I'll say Intentional Collaboration",focus on A and E,I appreciated the Data Wise team providing feedback to each individual team.,Neither Good Nor Bad,A Little Bit,A Little Bit,Completely Satisfied,n/a
2020-01-08 18:47:44,2020-01-08 18:55:30,IP Address,198.206.25.25,100,466,True,2020-01-08 18:55:30,R_3DtZxj4MaCa4rZf,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,indvidual time,"knowing what data we needed to have from building prior to engaging ",Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,we had no math support at our table as a math suppport school,Somewhat Agree,Somewhat Agree,,intentional collaboration,relentless focus on evidence,,Very Good,Quite A Bit,Moderately,Moderately Satisfied,
2020-01-08 18:46:46,2020-01-08 18:56:22,IP Address,198.206.25.64,100,576,True,2020-01-08 18:56:23,R_2rvYHnEcWU0VbZW,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Neutral,Strongly Agree,,,,,Very Good,A Great Deal,A Great Deal,Moderately Satisfied,
2020-01-08 18:51:21,2020-01-08 18:56:29,IP Address,198.206.25.64,100,308,True,2020-01-08 18:56:29,R_2CwjA0wqqi2A9F6,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,More inner team activity,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,Love the template for meetings,More reflection time,Somewhat Agree,Somewhat Agree,How to structure the process for succes,E relentless focus on evidence,A,,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,Continue doing wat you are dpoing.  Thank you for your support
2020-01-08 18:54:33,2020-01-08 18:57:13,IP Address,198.206.25.64,100,160,True,2020-01-08 18:57:13,R_1hQLS6mlqOeiyEF,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,Needed more time,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2020-01-08 18:57:32,2020-01-08 18:58:22,IP Address,198.206.25.25,100,49,True,2020-01-08 18:58:22,R_24tPAoepQ61LGeS,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Neutral,Somewhat Agree,,,,,Very Good,Quite A Bit,Quite A Bit,Moderately Satisfied,
2020-01-08 18:50:32,2020-01-08 18:58:34,IP Address,198.206.25.64,100,482,True,2020-01-08 18:58:35,R_1gSo6MiEmuPFVLf,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Engaging,Fairly redundant of previously learned material,Neutral,,Having school leadership here is essential.  There wasn't enough time to actually do the data display.,Completely Satisfied,Moderately Satisfied,The process and the criteria for learner centered goals was helpful.,"Being a math person, thinking deeply about writing criteria was a bit of a struggle.",Moderately Satisfied,School leadership was present!,"Sticking more to the protocol ",Somewhat Agree,Somewhat Agree,,relentless focus on evidence,intentional collaboration,"random handouts was a bit challenging, consider a binder",Very Good,Quite A Bit,Quite A Bit,Completely Satisfied,
