on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build understanding and skills to use Data Wise tools to foster equitable practices at each step of the improvement process.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65""}"
2018-12-03 20:02:08,2018-12-03 20:04:41,IP Address,50.247.240.113,100,152,True,2018-12-03 20:04:41,R_1jepXI0sKhlz0qh,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,stay on topic,,Completely Satisfied,Completely Satisfied,time well spend,,Moderately Satisfied,Moderately Satisfied,I don't like to put myself out there,,Completely Satisfied,stay on topic,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:03:29,2018-12-03 20:04:41,IP Address,50.247.240.113,100,71,True,2018-12-03 20:04:42,R_24NNEoKeRq7kNeC,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Moderately Satisfied,Working on groups,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:04,2018-12-03 20:04:46,IP Address,50.247.240.113,100,162,True,2018-12-03 20:04:46,R_2WTpzLJU405o4Zb,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"I think the presenters were great, they were good at reading the audience and kept people engaged. ","More team time ",Completely Satisfied,Completely Satisfied,Presenter was GREAT...very good at reading the audience and adjusting where needed.,,Completely Satisfied,Completely Satisfied,"Good self reflection.....nice to be able to move around the room ",,Completely Satisfied,"Great to be able to work with the team. ","I would like to be able to set up a practice that we can use when we return to our school ",Completely Satisfied,Completely Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-03 20:02:52,2018-12-03 20:04:47,IP Address,50.247.240.113,100,114,True,2018-12-03 20:04:47,R_eCJJGrcmWkkW7EB,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,nothing,Completely Satisfied,Completely Satisfied,,nothing,Completely Satisfied,Completely Satisfied,,nothing,Completely Satisfied,This was the best time of the day.  I would like more time working with my team,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:40,2018-12-03 20:04:49,IP Address,50.247.240.113,100,129,True,2018-12-03 20:04:49,R_3kBpGMDK4OXtYk0,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Dissatisfied,"Collaborating ",More time for collaboration,Neutral,Completely Satisfied,,,Completely Satisfied,,,,Completely Satisfied,,,Completely Dissatisfied,,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:03,2018-12-03 20:04:52,IP Address,50.247.240.113,100,168,True,2018-12-03 20:04:52,R_yC6rEJP9GKXKMBH,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Getting direct instruction but also giving time to work with our team, learn more about ourselves and those around us. ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:02:09,2018-12-03 20:04:53,IP Address,50.247.240.113,100,164,True,2018-12-03 20:04:54,R_1kT7DcDY9OaJ2ha,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"overview of whole process to get basis of big picture ",key vocabulary cheat sheet - as a new comer to Data Wise there are a lot of unfamiliar terms that it can be hard to keep up,Completely Satisfied,Completely Satisfied,it made the information more concrete,needed longer time,Completely Satisfied,Completely Satisfied,it explained the importance of constantly going back to Step 1,nothing,Completely Satisfied,Group talk really helps bring points home to our specific school,additional members for our team,Completely Satisfied,Completely Satisfied,hands on activities with data interpretation and the importance of multiple sources of data,nothing,Strongly Agree,Somewhat Agree
2018-12-03 20:02:17,2018-12-03 20:04:54,IP Address,50.247.240.113,100,157,True,2018-12-03 20:04:54,R_1etVQWYDSslqa1j,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Neutral,Neutral,this was a review for us,,Neutral,did not know the role of the observer,school based person observes,Neutral,Neutral,,,Strongly Agree,Neutral
2018-12-03 20:02:16,2018-12-03 20:05:01,IP Address,107.77.223.99,100,165,True,2018-12-03 20:05:02,R_2aPkYtlspdfr6SF,,,,,40.77630615234375,-73.95290374755859375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,I was still left unclear about the goal of the work we are completing,Completely Satisfied,Completely Satisfied,It helped to see it in action,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,We were able to connect the work to our school,"The purpose of the journey prrsentayion was unclear to our group ",Completely Satisfied,Completely Satisfied,,,Strongly Agree,Somewhat Agree
2018-12-03 20:03:08,2018-12-03 20:05:07,IP Address,107.77.224.126,100,119,True,2018-12-03 20:05:08,R_2xWfG6OumolJK6L,,,,,40.82220458984375,-73.92169952392578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
